Year,International number ID,"Flag of modification, addition or elimination",Flag of header or data line,Time(UTC),Flag of data category,Before modification,After modification,With or without modification of graphics,Date of revision
1986,8603,1,2,1986052106,D09,0150,0200,0,20230328
1986,8603,1,2,1986052106,D10,0200,0150,0,20230328
1986,8612,1,1,,H06,1,0,0,20230328
1986,8616,1,2,1986091500,D08,9,0,0,20230328
1986,8616,1,2,1986091500,D09,0050,0000,0,20230328
1986,8616,1,2,1986091500,D10,0050,0000,0,20230328
1986,8617,1,1,,H06,1,0,0,20230328
1986,8626,1,2,1986112900,D09,0000,0050,0,20230328
1986,8626,1,2,1986112900,D10,0000,0050,0,20230328
1986,8628,1,2,1986121618,D09,0000,0050,0,20230328
1986,8628,1,2,1986121618,D10,0000,0050,0,20230328
1987,8703,1,1,,H03,13,14,0,20230328
1987,8703,1,2,1987062000,D04,245,238,1,20230328
1987,8703,1,2,1987062000,D05,1070,1075,1,20230328
1987,8703,2,2,1987062006,,,87062006 002 2 245 1070 1000     000,1,20230328
1987,8705,1,2,1987071512,D06,970,965,0,20230328
1987,8706,1,2,1987071906,D08,0,9,0,20230328
1987,8706,1,2,1987071906,D09,0000,0050,0,20230328
1987,8706,1,2,1987071906,D10,0000,0050,0,20230328
1987,8706,1,2,1987072112,D08,0,9,0,20230328
1987,8706,1,2,1987072112,D09,0000,0050,0,20230328
1987,8706,1,2,1987072112,D10,0000,0050,0,20230328
1987,8713,1,2,1987090712,D08,0,9,0,20230328
1987,8713,1,2,1987090712,D09,0000,0050,0,20230328
1987,8713,1,2,1987090712,D10,0000,0050,0,20230328
1987,8714,1,2,1987090718,D04,195,192,1,20230328
1988,8810,1,2,1988080800,D06,1008,1010,0,20230328
1988,8824,1,2,1988100900,D08,0,9,0,20230328
1988,8824,1,2,1988100900,D09,0000,0090,0,20230328
1988,8824,1,2,1988100900,D10,0000,0090,0,20230328
1989,8907,1,2,1989070618,D05,1294,1291,1,20230328
1989,8908,1,2,1989071400,D06,950,960,0,20230328
1989,8913,1,2,1989073100,D04,200,195,1,20230328
1989,8913,1,2,1989073100,D05,1510,1515,1,20230328
1989,8913,1,2,1989080300,D07,060,065,0,20230328
1989,8916,1,2,1989081712,D06,998,996,0,20230328
1989,8920,1,2,1989091512,D05,1780,1800,1,20230328
1989,8922,1,2,1989091812,D08,0,9,0,20230328
1989,8922,1,2,1989091812,D09,0000,0050,0,20230328
1989,8922,1,2,1989091812,D10,0000,0050,0,20230328
1989,8931,1,2,1989112412,D04,140,150,1,20230328
1989,8931,1,2,1989112418,D04,140,145,1,20230328
1990,9019,1,2,1990092000,D08,9,0,0,20230328
1990,9019,1,2,1990092000,D09,0100,0000,0,20230328
1990,9019,1,2,1990092000,D10,0100,0000,0,20230328
1990,9027,1,2,1990112118,D08,0,9,0,20230328
1990,9027,1,2,1990112118,D09,0000,0050,0,20230328
1990,9027,1,2,1990112118,D10,0000,0050,0,20230328
1951,5113,1,2,1951091800,D06,980,970,0,20240313
1951,5116,1,1,,H06,1,0,0,20240313
1952,5218,1,1,,H06,0,1,0,20240313
1952,5223,1,1,,H03,29,28,0,20240313
1952,5223,3,2,1952112712,,52112712 002 6 256 1205 1000,,0,20240313
1953,5302,1,2,1953060706,D04,345,343,1,20240313
1953,5302,1,2,1953060706,D05,1338,1344,1,20240313
1953,5302,1,2,1953060706,D06,993,992,0,20240313
1954,5408,1,1,,H06,0,1,0,20240313
1954,5413,1,2,1954091406,D06,990,980,0,20240313
1955,5520,1,2,1955090806,D06,996,994,0,20240313
1955,5525,1,2,1955101318,D03,9,6,0,20240313
1956,5616,1,2,1956092300,D03,9,2,1,20240313
1956,5616,1,2,1956092306,D03,9,2,1,20240313
1956,5616,1,2,1956092312,D03,9,2,1,20240313
1956,5616,1,2,1956092318,D03,9,2,1,20240313
1960,6015,1,2,1960081906,D04,244,242,1,20240313
1961,6104,1,2,1961052918,D04,469,460,1,20240313
1962,6205,1,1,,H06,0,1,0,20240313
1962,6218,1,1,,H06,0,1,0,20240313
1962,6225,1,1,,H06,0,1,0,20240313
1963,6323,1,2,1963121706,D05,1244,1241,1,20240313
1964,6419,1,1,,H06,0,1,0,20240313
1964,6434,1,2,1964121806,D02,64121806,64121803,0,20240313
1965,6501,1,2,1965012412,D06,1000,1008,0,20240313
1965,6501,1,2,1965012418,D06,1000,1008,0,20240313
1965,6509,1,2,1965061912,D03,2,6,0,20240313
1965,6509,1,2,1965061918,D03,2,6,0,20240313
1965,6509,1,2,1965062000,D03,2,6,0,20240313
1965,6509,1,2,1965062006,D03,2,6,0,20240313
1965,6509,1,2,1965062012,D03,2,6,0,20240313
1965,6509,1,2,1965062018,D03,2,6,0,20240313
1965,6509,1,2,1965062100,D03,2,6,0,20240313
1965,6509,1,2,1965062106,D03,2,6,0,20240313
1965,6509,1,2,1965062112,D03,2,6,0,20240313
1965,6509,1,2,1965062118,D03,2,6,0,20240313
1965,6509,1,2,1965062200,D03,2,6,0,20240313
1965,6509,1,2,1965062206,D03,2,6,0,20240313
1965,6509,1,2,1965062212,D03,2,6,0,20240313
1965,6509,1,2,1965062218,D03,2,6,0,20240313
1965,6509,1,2,1965062300,D03,2,6,0,20240313
1965,6509,1,2,1965062306,D03,2,6,0,20240313
1965,6509,1,2,1965062312,D03,2,6,0,20240313
1965,6509,1,2,1965062318,D03,2,6,0,20240313
1965,6509,1,2,1965062400,D03,2,6,0,20240313
1965,6509,1,2,1965062406,D03,2,6,0,20240313
1965,6510,1,2,1965062806,D06,1000,1002,0,20240313
1965,6510,1,2,1965062812,D06,1000,1002,0,20240313
1965,6511,1,1,,H06,0,1,0,20240313
1965,6518,1,2,1965082312,D04,385,401,1,20240313
1965,6518,1,2,1965082312,D05,1246,1308,1,20240313
1965,6518,1,2,1965082312,D06,1004,1001,0,20240313
1965,6518,1,2,1965082318,D04,386,415,1,20240313
1965,6518,1,2,1965082318,D05,1250,1310,1,20240313
1965,6518,1,2,1965082318,D06,1005,1002,0,20240313
1965,6519,1,1,,H06,0,1,0,20240313
1965,6523,1,2,1965090606,D06,985,990,0,20240313
1966,6613,1,2,1966081318,D06,990,992,0,20240313
1966,6623,1,1,,H06,0,1,0,20240313
1966,6628,1,2,1966100206,D03,2,6,0,20240313
1966,6628,1,2,1966100212,D03,2,6,0,20240313
1966,6628,1,2,1966100218,D03,2,6,0,20240313
1966,6628,1,2,1966100300,D03,2,6,0,20240313
1966,6628,1,2,1966100306,D03,2,6,0,20240313
1966,6628,1,2,1966100312,D03,2,6,0,20240313
1966,6628,1,2,1966100318,D03,2,6,0,20240313
1966,6628,1,2,1966100400,D03,2,6,0,20240313
1966,6628,1,2,1966100406,D03,2,6,0,20240313
1966,6628,1,2,1966100412,D03,2,6,0,20240313
1967,6726,1,1,,H06,1,0,0,20240313
1967,6727,1,1,,H06,1,0,0,20240313
1967,6727,1,2,1967091400,D06,994,980,0,20240313
1968,6802,1,1,,H06,1,0,0,20240313
1968,6804,1,1,,H06,1,0,0,20240313
1968,6804,1,2,1968072300,D04,194,196,1,20240313
1968,6804,1,2,1968072300,D05,1424,1418,1,20240313
1968,6804,1,2,1968072306,D04,197,194,1,20240313
1968,6804,1,2,1968072306,D05,1423,1419,1,20240313
1970,7005,1,1,,H06,1,0,0,20240313
1970,7007,1,1,,H06,1,0,0,20240313
1970,7026,1,1,,H06,0,1,0,20240313
1963,6324,1,2,1963122712,D05,1395,1405,1,20240625
1963,6324,1,2,1963122718,D05,1381,1421,1,20240625
1963,6324,1,2,1963122800,D05,1383,1443,1,20240625
1963,6324,1,2,1963122806,D05,1390,1470,1,20240625
1963,6324,1,2,1963122812,D05,1396,1507,1,20240625
1983,8301,1,2,1983062706,D04,201,210,1,20240625
1954,5405,1,2,1954081712,D06,940,950,0,20250404
1954,5405,1,2,1954081718,D06,940,955,0,20250404
1954,5405,1,2,1954081800,D05,1312,1313,1,20250404
1954,5405,1,2,1954081800,D06,960,964,0,20250404
1954,5405,1,2,1954081812,D05,1342,1341,1,20250404
1954,5405,1,2,1954081812,D06,970,974,0,20250404
1954,5405,1,2,1954081818,D04,347,348,1,20250404
1954,5405,1,2,1954081900,D04,354,353,1,20250404
1954,5405,1,2,1954081906,D04,353,351,1,20250404
1954,5405,1,2,1954081906,D05,1378,1374,1,20250404
1954,5405,1,2,1954081906,D06,989,988,0,20250404
1954,5405,1,2,1954081912,D04,354,353,1,20250404
1954,5405,1,2,1954081912,D05,1394,1393,1,20250404
1954,5405,1,2,1954081912,D06,991,990,0,20250404
1954,5405,1,2,1954081918,D05,1408,1411,1,20250404
1954,5405,1,2,1954082000,D04,380,382,1,20250404
1954,5405,1,2,1954082006,D04,386,388,1,20250404
1954,5405,1,2,1954082012,D03,6,9,1,20250404
1954,5405,1,2,1954082106,D04,403,402,1,20250404
1954,5405,1,2,1954082106,D05,1557,1555,1,20250404
1954,5405,1,2,1954082212,D05,1707,1705,1,20250404
1954,5405,1,2,1954082212,D06,1002,998,0,20250404
1954,5405,1,2,1954082218,D04,402,412,1,20250404
1954,5405,1,2,1954082300,D04,420,410,1,20250404
1954,5405,1,2,1954082300,D05,1789,1800,1,20250404
1954,5405,1,2,1954082306,D06,994,996,0,20250404
1954,5412,1,2,1954090500,D03,2,9,1,20250404
1954,5412,1,2,1954090506,D05,1501,1503,1,20250404
1954,5412,1,2,1954090600,D06,970,980,0,20250404
1954,5412,1,2,1954090606,D06,970,975,0,20250404
1954,5412,1,2,1954090700,D06,970,950,0,20250404
1954,5412,1,2,1954090706,D06,970,945,0,20250404
1954,5412,1,2,1954090712,D04,200,201,1,20250404
1954,5412,1,2,1954090712,D05,1429,1424,1,20250404
1954,5412,1,2,1954090712,D06,960,930,0,20250404
1954,5412,1,2,1954090718,D04,201,202,1,20250404
1954,5412,1,2,1954090718,D06,960,920,0,20250404
1954,5412,1,2,1954090806,D06,910,905,0,20250404
1954,5412,1,2,1954091300,D06,945,950,0,20250404
1954,5412,1,2,1954091306,D04,311,313,1,20250404
1954,5412,1,2,1954091306,D05,1306,1307,1,20250404
1954,5412,1,2,1954091306,D06,955,958,0,20250404
1954,5412,1,2,1954091312,D04,331,329,1,20250404
1954,5412,1,2,1954091312,D05,1310,1311,1,20250404
1954,5412,1,2,1954091500,D05,1310,1304,1,20250404
1954,5413,1,2,1954090406,D06,1000,1002,0,20250404
1954,5413,1,2,1954090412,D06,1000,1002,0,20250404
1954,5413,1,2,1954090612,D06,950,940,0,20250404
1954,5413,1,2,1954090618,D06,960,945,0,20250404
1954,5413,1,2,1954090700,D06,960,950,0,20250404
1954,5413,1,2,1954090706,D06,960,965,0,20250404
1954,5413,1,2,1954090712,D06,975,988,0,20250404
1954,5413,1,2,1954090718,D06,994,995,0,20250404
1954,5413,1,2,1954090800,D06,995,998,0,20250404
1954,5413,1,2,1954090806,D06,996,1000,0,20250404
1954,5413,1,2,1954090812,D06,995,998,0,20250404
1954,5414,1,2,1954091206,D06,1000,995,0,20250404
1954,5414,1,2,1954091306,D06,990,985,0,20250404
1954,5414,1,2,1954091500,D06,960,955,0,20250404
1954,5414,1,2,1954091600,D06,950,955,0,20250404
1954,5414,1,2,1954091606,D06,950,955,0,20250404
1954,5414,1,2,1954091612,D06,950,955,0,20250404
1954,5414,1,2,1954091618,D06,950,960,0,20250404
1954,5414,1,2,1954091700,D06,960,965,0,20250404
1954,5414,1,2,1954091706,D06,960,965,0,20250404
1954,5414,1,2,1954091718,D05,1343,1342,1,20250404
1954,5414,1,2,1954091800,D04,324,320,1,20250404
1954,5414,1,2,1954091800,D05,1354,1343,1,20250404
1954,5414,1,2,1954091806,D04,335,332,1,20250404
1954,5414,1,2,1954091806,D05,1367,1362,1,20250404
1954,5414,1,2,1954091806,D06,970,972,0,20250404
1954,5414,1,2,1954091812,D04,348,346,1,20250404
1954,5414,1,2,1954091812,D05,1387,1386,1,20250404
1954,5414,1,2,1954091818,D06,976,978,0,20250404
1954,5415,1,2,1954092606,D04,411,410,1,20250404
1954,5415,1,2,1954092606,D05,1388,1384,1,20250404
1954,5415,1,2,1954092612,D04,429,430,1,20250404
1954,5415,1,2,1954092612,D06,956,952,0,20250404
1954,5415,1,2,1954092618,D04,450,451,1,20250404
1954,5415,1,2,1954092618,D05,1419,1417,1,20250404
1954,5415,1,2,1954092700,D04,490,480,1,20250404
1954,5415,1,2,1954092718,D05,1561,1560,1,20250404
1954,5415,1,2,1954092812,D05,1709,1710,1,20250404
1954,5417,1,2,1954101812,D03,6,9,1,20250404
1958,5822,1,2,1958092406,D05,1352,1353,1,20250404
1960,6026,1,2,1960112800,D03,9,2,1,20250404
1965,6503,1,2,1965021606,D05,1042,1041,1,20250404
1975,7506,1,2,1975082306,D04,386,374,1,20250404
2025,2505,1,1,,H03,36,35,0,20251211
2025,2505,3,2,2025071416,,25071416 002 3 416 1431  992     040     00000 0000 30240 0120,,1,20251211
